Title,Company,Company Link,Date,Job Link,Description,Insights
"HPC Storage Engineer (System), NSCC",Jobscentral,,,https://www.linkedin.com/jobs/view/4020117118/?eBP=NON_CHARGEABLE_CHANNEL&refId=IiYei76K9I6kiR%2BdBidTOg%3D%3D&trackingId=D5cFrh13%2FdgyxKUD7%2F8vSA%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Summary

The HPC Storage Engineer will be responsible for managing the storage infrastructure within HPC environments. This role involves monitoring storage performance and optimizing through tuning and troubleshooting. Successful candidate with demonstrated experience in the HPC storage field may be considered for a Senior position.

Responsibilities

Storage administration and optimization


Work with Managed Services teams in managing and administering the storage infrastructure.
Ensure storage reliability and availability within HPC system.
Provide support on technical queries and troubleshooting storage-related issues.
Implement best practices for storage monitoring and reporting.
Monitor utilization rate, allocation and analyse the report for capacity planning.
Conduct storage performance test and analysis.
Collaborate with other teams for enhancement of storage performance and scalability.
Develop and maintain comprehensive documentation for HPC storage infrastructure and processes.


Data management


Create and execute a data placement strategy to optimize storage performance.
Maintain data protection and disaster recovery strategies.
Implement and maintain security measures to protect data integrity and prevent unauthorized access.


Designing and planning


Assess future requirements and plan for storage expansion.
Assist in the designing of future HPC system acquisition.
Explore and evaluate emerging solutions in HPC storage technology.


Qualifications


Degree in a Computer Science, Engineering, IT or other relevant areas.
At least 3 years of experience in managing storage infrastructure.
Proficient in UNIX/Linux environments and command line interface (CLI).
Good knowledge of HPC storage principles.
Experience in managing parallel file system (Lustre, GPFS, BeeGFS).
Good knowledge of RDMA-based interconnect (InfiniBand, RoCE).
Demonstrate ability to analyse complex issues and develop effective solutions.
To be considered for Senior position, candidates should have at least 5 years of experience in roles that involve the deployment of HPC storage infrastructure, covering key areas such as designing, installing, configuring, documentation and providing admin/user training.","['HybridMatches your job preferences, workplace type is Hybrid. Full-timeMatches your job preferences, job type is Full-time. Mid-Senior level', 'Skills: Computer Science, GPFS, +8 more', '', 'Am I a good fit?', 'How can I best position myself?', 'Tell me about Jobscentral']"
"HPC System Engineer (System), NSCC",Jobscentral,,2024-09-09,https://www.linkedin.com/jobs/view/4020111996/?eBP=NON_CHARGEABLE_CHANNEL&refId=IiYei76K9I6kiR%2BdBidTOg%3D%3D&trackingId=bMmUVCLknLQ9yS7NrM6SqQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Summary

The HPC System Engineer will be responsible for managing, monitoring and optimizing the operational of supercomputing system. This role involves collaborating with various research and technical teams to optimize HPC resources utilization. Successful candidate with demonstrated experience in the HPC field may be considered for a Senior position.

Roles And Responsibilities

System administration and optimization


Work with Managed Services teams in managing and administering HPC systems, including servers, storage, and internal network components.
Ensure the reliability and availability of HPC infrastructure.
Provide support on technical queries and troubleshooting HPC-related problems.
Implement best practices for system monitoring and reporting.
Develop utility tools to support monitoring, tuning, and troubleshooting activities.
Document incident details, resolution, and lessons learned to enhance future problem-solving.
Implement security measures and monitoring to protect HPC systems.
Conduct regular security check and assessments within HPC system infrastructure.
Monitor system performance and optimize the performance through tuning and troubleshooting.


Resource and workload management


Monitor HPC resource utilization.
Develop and evaluate policies for allocating HPC resources.
Optimize job scheduling to maximize resource utilization.


Designing and planning


Assess future computational requirements and plan for system expansion.
Assist in the designing of future HPC system acquisition.
Study and evaluate emerging technologies and trends, including but not limited to:
processor and accelerators
interconnect technology
storage solutions
programming models


Qualifications


Degree in a Computer Science, Engineering, IT or other relevant areas.
At least 3 years of experience in managing HPC systems.
Highly proficient in UNIX/Linux environments and command line interface (CLI).
Experience with cluster management software (xCAT, BCM, PHPC, HPCM).
Experience with job scheduling and workload management software (Slurm or PBS Pro)
Strong knowledge of HPC storage principles and experience in managing parallel file system (Lustre, GPFS, BeeGFS).
Strong knowledge of RDMA-based interconnect (InfiniBand, RoCE).
Understanding of basic network protocols like DHCP, DNS, TFTP, SMTP, etc.
Good knowledge of scripting languages like Python, Bash or Perl.
Demonstrate ability to analyse complex issues and develop effective solutions.
To be considered for Senior position, candidates should have at least 5 years of experience in roles that involve the deployment of HPC systems, covering key areas such as designing, installing, configuring, documentation and providing admin/user training.","['On-siteMatches your job preferences, workplace type is On-site. Full-timeMatches your job preferences, job type is Full-time. Mid-Senior level', 'Skills: xCAT, High Performance Computing (HPC), +8 more', '', 'Am I a good fit?', 'How can I best position myself?', 'Tell me about Jobscentral']"
Algorithm Engineer (NLP) - TikTok e-Commerce,Jobscentral,,2024-09-09,https://www.linkedin.com/jobs/view/4020117115/?eBP=NON_CHARGEABLE_CHANNEL&refId=IiYei76K9I6kiR%2BdBidTOg%3D%3D&trackingId=h0w6rxi1KYotjG4Ec8o49Q%3D%3D&trk=flagship3_search_srp_jobs,"About the job
TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok's sponsorship of a visa.

TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us

Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.

Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.

To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.

At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.

Join us.

About The Team

Our team is responsible for developing next-generation chatbot and machine translation solutions to improve the TikTok Shopping experience across the world. We are currently looking for talented engineers that have a deep understanding of natural language processing and machine learning, especially ones with solid skills and experience of large language models, machine translation, and conversational AI.

Responsibilities


 You will be responsible for developing and optimizing the intelligent customer service of TikTok shopping. This role will work closely with our product and operation teams to understand the intentions of our users, design solutions of experience excellence, and convey these solutions to our users conversationally, with the support of cutting-edge LLMs technology. You will have the chance to develop NLP models (like text classification, machine reading, summarization) and prediction models (like question prediction and chatbot action prediction) to achieve the above goals.
 You will be responsible for developing and optimizing the machine translation service of TikTok shopping to better support cross-region product listing, buyer-seller communication, and commenting. You will have the chance to develop machine translation models for the conversational environment and text generation models from multi-modality inputs.
 You will be responsible for developing and optimizing the multi-modal AIGC model for product copywriting, including product title, selling points, description and live broadcast script creation etc. You will have the chance to apply cutting edge AIGC models to save human effort and improve business performance.


About The Job

Responsible for the NLP-related research and development, mainly including:


 Building the intent classifier in a full-stack manner by designing taxonomy, creating and managing high quality labeled data, training the best performed machine learning model (like Bert, GPT), and monitoring the online performance of the model.
 Building the prediction model by mapping the shopping journey of our users to chatbot actions, including suggesting common question-answers and transferring the user to human agent, with cutting-edge prediction models (like Boosting, deep CTR).
 Building the generation model by understanding business requests, exploring proper instructions, developing high-quality data, and finetuning a language model of billions of parameters (e.g., 13B, 60B).
 Working closely with our product and operation teams to quantitatively understand the impact of our chatbot and continuously bridge the business improvement action to model optimization action.


Qualifications

Requirements


 Bachelor and above with majors in Computer Science, Computer Engineering, Statistics, Applied Mathematics, Data Science or other related disciplines.
 At least 5 years of work experience in the related field: Large Language Models, Natural Language Generation, Machine Translation, Question Answering, Machine Reading, Information Extraction, Text Mining and Slassification etc.
 Work experience in e-commerce or the Internet industry is preferred.
 Practical experience in NLP (dialogue system, machine translation, nlp-related projects in IR/Ads system, etc.) are preferred.
 Familiar with at least one computer programming language, including but not limited to Go/ Python/ Java.
 Experience of big data development, including but not limited to hive, spark
 Candidates who have published high-quality papers are preferred, including but not limited to ACL, EMNLP, COLING, AAAI, IEEE TASLP, etc.


TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.","['On-siteMatches your job preferences, workplace type is On-site. Full-timeMatches your job preferences, job type is Full-time. Mid-Senior level', '7 of 10 skills match your profile - you may be a good fit', '', 'Am I a good fit?', 'How can I best position myself?', 'Tell me about Jobscentral']"
"Algorithm Engineer, TikTok E-commerce (Knowledge Graph)",Jobscentral,,2024-09-09,https://www.linkedin.com/jobs/view/4020116133/?eBP=NON_CHARGEABLE_CHANNEL&refId=IiYei76K9I6kiR%2BdBidTOg%3D%3D&trackingId=gN1NH4oU%2Fo550iTk5xn0cw%3D%3D&trk=flagship3_search_srp_jobs,"About the job
TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok's sponsorship of a visa.

TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us

Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.

Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.

To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.

At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.

Join us.

About The Team

Our team enhances the recognition capabilities for users, products, short videos, and more, in order to recommend more suitable products to users and provide them with an excellent shopping experience.

Responsibilities


 Construct user profiling system to accurately depict each user's shopping interests by analyzing their behavioral patterns, preferences, and consumption habits during the shopping process.
 Utilise NLP, CV, and multimodal technologies to enhance understanding of short video content and products, supporting search, recommendation, and end-to-end shopping experiences in the marketplace.
 Explore large-scale and high-quality pretraining datasets in specific verticals of e-commerce, leveraging the power of the Byte Universal Model to develop industry-specific models for e-commerce.
 Discover new scenarios for interactive shopping experiences in e-commerce through these innovations.


Qualifications

Minimum Qualifications:


 Deep research expertise in NLP, CV, and multimodal fields, including but not limited to machine translation, multilingual NLP, few-shot learning, reinforcement learning, image and video understanding, and multimodal analysis.
 Proficient in training and deploying models using PyTorch, TensorFlow, or other frameworks.
 Strong practical skills, with a preference for those who have project experience in video content understanding or multimodal retrieval. Priority will be given to individuals with awards from competitions such as Kaggle, COCO, ActivityNet, ICPC, NOI/IOI.


Preferred Qualifications


 Individuals who have published papers in top-tier academic conferences/journals
 Minimum 1 year relevant work experience from a large-scale internet business.


TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.","['On-siteMatches your job preferences, workplace type is On-site. Full-timeMatches your job preferences, job type is Full-time. Entry level', 'Skills: Natural Language Processing (NLP), TensorFlow, +8 more', '', 'Am I a good fit?', 'How can I best position myself?', 'Tell me about Jobscentral']"
"Machine Learning Engineer, Search Recommendation (E-commerce) - Singapore",Jobscentral,,2024-09-09,https://www.linkedin.com/jobs/view/4020114647/?eBP=NON_CHARGEABLE_CHANNEL&refId=IiYei76K9I6kiR%2BdBidTOg%3D%3D&trackingId=KOE7Cc4LyHXaHie%2FyRb%2FWQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
About TikTok

TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok sponsorship of a visa.

TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.

Why Join Us

Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.

Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.

To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.

At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.

Join us.

About The Team

The Search Growth E-commerce team is at the forefront of developing the search recommendation algorithm for TikTok's rapidly expanding global e-commerce enterprise. Utilizing cutting-edge machine learning technology, advanced NLP, CV, recommendation, and multi-modal technology, we're shaping a pioneering engine within the industry. Our objective is to deliver the ultimate e-commerce search experience to over 1 billion active TikTok users worldwide.

Responsibilities


 Elevate search recommendation services and models for TikTok E-commerce, driving heightened e-commerce search traffic on both TikTok and TikTok Mall, while enhancing user search and purchasing cognition.
 Optimize the recommender system, focusing on hyperscale machine learning models. This involves diverse tasks spanning recall/first-stage ranking to final-stage ranking within the end-to-end workflow.
 Push the boundaries of short text and general recommendation technology, with a specific emphasis on the interaction between recommendation and NLP technology.


Qualifications

Minimum Qualifications


 Bachelor or advanced degree in computer science or a related technical discipline.
 Excellent coding skills. Solid knowledge of data structure and algorithms.
 Excellent in analysis, modeling and problem-solving, and can see the essence of problems from complex data.
 Publication records in top journals or conferences will be a plus. Experience winning ACM-ICPC medals will be a plus.


Preferred Qualifications


 Good product sense with a focus on user experience.
 Domain knowledge or working experience in any of these areas: modern Recommendation, Search, Advertisement, E-commerce.


TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.","['On-siteMatches your job preferences, workplace type is On-site. Full-timeMatches your job preferences, job type is Full-time. Entry level', '6 of 10 skills match your profile - you may be a good fit', '', 'Am I a good fit?', 'How can I best position myself?', 'Tell me about Jobscentral']"
"Algorithm Engineer, TikTok e-Commerce",Jobscentral,,2024-09-09,https://www.linkedin.com/jobs/view/4020114637/?eBP=NON_CHARGEABLE_CHANNEL&refId=IiYei76K9I6kiR%2BdBidTOg%3D%3D&trackingId=VHwPYrceJeF7o1Xbrm%2Fadg%3D%3D&trk=flagship3_search_srp_jobs,"About the job
TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok's sponsorship of a visa.

TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us

Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.

Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.

To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.

At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.

Join us.

About The Team

Our team is responsible for developing large scale product knowledge graphs to improve online shopping experience. We are currently looking for talented software engineers that have a deep understanding of Natural Language Processing (NLP), Computer Vision (CV), Deep Learning (DL) and Machine Learning(ML).

Responsibilities

You will be developing state-of-the-art models to solve challenging problems that impact both the platform and millions of customers, including:


 Responsible for building and continuously optimizing algorithm solutions in product matching, price comparison etc. to improve supply operational efficiencies;
 Responsible for continuously maintaining and improving the robustness, stability and computational efficiencies of algorithm solutions in live business environment.
 Support the production of scalable and optimised AI/machine learning (ML) models
 Focus on building algorithms for the extraction, transformation and loading of large volumes of realtime, unstructured data to deploy AI/ML solutions from theoretical data science models.
 Run experiments to test the performance of deployed models, and identifies and resolves bugs that arise in the process.
 Work in a team setting and apply knowledge in statistics, scripting and programming languages required by the firm.
 Work with the relevant software platforms in which the models are deployed.


Qualifications


 Bachelor and above with major in computer science, computer engineering, statistics, applied mathematics, data science or other related disciplines.
 At least 1 year of experience and strong skills in at least one of the technological areas:
 Natural language generation, named entity recognition, machine translation, question answering, knowledge graph, information extraction, text mining and classification etc.
 Computer vision, facial recognition, multimodal learning, object detection & tracking, image classification etc.
 Machine learning, transfer learning, graph embedding, representative learning, large-scale optimization, recommendation, reinforcement learning, etc.
 Work experience in e-commerce or Internet industry is preferred.
 Strong coding skills in at least one of the following programming frameworks, e.g. Python, Java, C/C++, Spark etc.; Familiaer with at least one of the following deep learning frameworks, e.g., PyTorch, TensorFlow, Keras etc.
 Strong analytical and problem-solving skills.


TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.","['On-siteMatches your job preferences, workplace type is On-site. Full-timeMatches your job preferences, job type is Full-time.', '7 of 10 skills match your profile - you may be a good fit', '', 'Am I a good fit?', 'How can I best position myself?', 'Tell me about Jobscentral']"
"Assistant Development Engineer (Front-end Web Developer), ARTC",Jobscentral,,2024-09-09,https://www.linkedin.com/jobs/view/4020115385/?eBP=NON_CHARGEABLE_CHANNEL&refId=IiYei76K9I6kiR%2BdBidTOg%3D%3D&trackingId=TGrZrp1QOHklfQVjuu6zFw%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Develop front-end web applications to support robotics software solutions and platforms. Candidate should be well-versed in web development skillsets, software development life cycle and systems engineering concepts.

Responsibilities


Drive independent application oriented robotic research towards industrial automation using ROS
Develop software solutions for interoperable multi-agent systems project implementation
Implement systems engineering approach by translating business requirements into system requirements and validation methodologies
Develop software testing and validation strategies in accordance with industry standards
Technical project planning and execution on development projects for global industry members
Technical write up and presentation of project work


Job Requirements


Minimum diploma holder
Minimum 3 years of front-end development experience
Proficiency in Wireframing tools, such as Figma, Sketch or Adobe-XD
React, Typescript HTML5, CSS3 and javascript
State management libraries (e.g., Redux, Mobx)
Version control systems (e.g., Git)
Front-end testing frameworks (e.g., Jest, Enzyme)
Containerization technologies (e.g., Docker, Kubernetes)
Understanding of software development lifecycle and agile methodologies.
Other requirements (e.g. skills, competencies): Experience in ROS and robotics is an added advantage


The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","['Full-timeMatches your job preferences, job type is Full-time. Mid-Senior level', 'Skills: Front-End Development, Software Development, +8 more', '', 'Am I a good fit?', 'How can I best position myself?', 'Tell me about Jobscentral']"
Algorithm Engineer (NLP) - TikTok Search,Jobscentral,,2024-09-09,https://www.linkedin.com/jobs/view/4020111967/?eBP=NON_CHARGEABLE_CHANNEL&refId=IiYei76K9I6kiR%2BdBidTOg%3D%3D&trackingId=OdpxiHAtXzZlkYUv4Vs4tg%3D%3D&trk=flagship3_search_srp_jobs,"About the job
About TikTok

TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok sponsorship of a visa.

TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.

Why Join Us

Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.

Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.

To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.

At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.

Join us.

About The Team

Our Search Team is responsible for building and owning TikTok's search engine which provides our users the best search experience. On the TikTok Search Team, you'll have the opportunity to build a full-stack search engine system and combine information retrieval technology with modern machine learning methods from related fields such as NLP, Computer Vision, Multimodal, and Recommender Systems. We embrace a culture of self-direction, intellectual curiosity, openness, and problem-solving.

Responsibilities

Responsible for the internationalization of Tako algorithm landing of new short video products, researching new application forms and solutions based on new technologies in fields such as search, recommendation, and dialogue, meeting the growing intelligent interaction needs of users, comprehensively improving the user experience of using products, stimulating creativity, and providing value. The main work directions include:


 Enhance the experience of dialogue interaction and expand the capabilities of current new technologies, such as search enhancement and the introduction of plug-ins;
 Apply the latest technologies to improve the effectiveness of search and recommendation systems, including data production, model training/distillation, performance tuning, etc.
 Track cutting-edge technologies in the industry, such as prompt engineering, instruction fine-tuning, plug-in selection, and session management, and put them into practice in the business;
 Conduct in-depth research and exploration on more future application scenarios to keep the team's technology at the forefront.


Qualifications

Minimum Qualifications


 At least 3 years of experience in a related algorithm or machine learning role
 Excellent coding ability, data structure and basic algorithm foundation
 Proficient in C/C++ or Python
 Familiar with NLP-related algorithms and technologies, with experience in LLM, abstract, NER, and other practical or prompt engineering tuning and instruction fine-tuning.


Preferred Qualifications


 Winners of ACM/ICPC, NOI/IOI, Top Coder, Kaggle and other competitions are preferred
 Good communication and collaboration skills, able to explore new technologies with the team and promote technological progress
 Excellent problem analysis and problem-solving skills, able to deeply solve the problems existing in the application of LLM


TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.","['On-siteMatches your job preferences, workplace type is On-site. Full-timeMatches your job preferences, job type is Full-time. Mid-Senior level', '7 of 10 skills match your profile - you may be a good fit', '', 'Am I a good fit?', 'How can I best position myself?', 'Tell me about Jobscentral']"
"Assistant Development Engineer (Front-end Web Developer), ARTC",Jobscentral,,2024-09-09,https://www.linkedin.com/jobs/view/4020115365/?eBP=NON_CHARGEABLE_CHANNEL&refId=IiYei76K9I6kiR%2BdBidTOg%3D%3D&trackingId=x00xBx8MPRV9n7IsdqELCA%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Develop front-end web applications to support robotics software solutions and platforms. Candidate should be well-versed in web development skillsets, software development life cycle and systems engineering concepts.

Responsibilities


Drive independent application oriented robotic research towards industrial automation using ROS
Develop software solutions for interoperable multi-agent systems project implementation
Implement systems engineering approach by translating business requirements into system requirements and validation methodologies
Develop software testing and validation strategies in accordance with industry standards
Technical project planning and execution on development projects for global industry members
Technical write up and presentation of project work


Job Requirements


Minimum diploma holder
Minimum 0-3 years of front-end development experience
Proficiency in Wireframing tools, such as Figma, Sketch or Adobe-XD
React, Typescript HTML5, CSS3 and javascript
State management libraries (e.g., Redux, Mobx)
Version control systems (e.g., Git)
Front-end testing frameworks (e.g., Jest, Enzyme)
Containerization technologies (e.g., Docker, Kubernetes)
Understanding of software development lifecycle and agile methodologies.
Other requirements (e.g. skills, competencies): Experience in ROS and robotics is an added advantage


The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","['Full-timeMatches your job preferences, job type is Full-time. Entry level', 'Skills: Front-End Development, Software Development, +8 more', '', 'Am I a good fit?', 'How can I best position myself?', 'Tell me about Jobscentral']"
"Algorithm Engineer (NLP), TikTok e-Commerce",Jobscentral,,2024-09-09,https://www.linkedin.com/jobs/view/4020113619/?eBP=NON_CHARGEABLE_CHANNEL&refId=IiYei76K9I6kiR%2BdBidTOg%3D%3D&trackingId=NNKd2SI24t1NkWALlXDWoA%3D%3D&trk=flagship3_search_srp_jobs,"About the job
TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok's sponsorship of a visa.

TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us

Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.

Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.

To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.

At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.

Join us.

About The Team

Our team is responsible for developing next-generation chatbot and machine translation solutions to improve the TikTok Shopping experience across the world. We are currently looking for talented engineers that have a deep understanding of natural language processing and machine learning, especially ones with solid skills and experience of large language models, machine translation, and conversational AI.

Responsibilities


 You will be responsible for developing and optimizing the intelligent customer service of TikTok shopping. This role will work closely with our product and operation teams to understand the intentions of our users, design solutions of experience excellence, and convey these solutions to our users conversationally, with the support of cutting-edge LLMs technology. You will have the chance to develop NLP models (like text classification, machine reading, summarization) and prediction models (like question prediction and chatbot action prediction) to achieve the above goals.
 You will be responsible for developing and optimizing the machine translation service of TikTok shopping to better support cross-region product listing, buyer-seller communication, and commenting. You will have the chance to develop machine translation models for the conversational environment and text generation models from multi-modality inputs.
 You will be responsible for developing and optimizing the multi-modal AIGC model for product copywriting, including product title, selling points, description and live broadcast script creation etc. You will have the chance to apply cutting edge AIGC models to save human effort and improve business performance.


About The Job

Responsible for the NLP-related research and development, mainly including:


 Building the intent classifier in a full-stack manner by designing taxonomy, creating and managing high quality labeled data, training the best performed machine learning model (like Bert, GPT), and monitoring the online performance of the model.
 Building the prediction model by mapping the shopping journey of our users to chatbot actions, including suggesting common question-answers and transferring the user to human agent, with cutting-edge prediction models (like Boosting, deep CTR).
 Building the generation model by understanding business requests, exploring proper instructions, developing high-quality data, and finetuning a language model of billions of parameters (e.g., 13B, 60B).
 Working closely with our product and operation teams to quantitatively understand the impact of our chatbot and continuously bridge the business improvement action to model optimization action.


Qualifications

Requirements


 Bachelor and above with majors in Computer Science, Computer Engineering, Statistics, Applied Mathematics, Data Science or other related disciplines.
 At least 3 years of work experience in the related field: Large Language Models, Natural Language Generation, Machine Translation, Question Answering, Machine Reading, Information Extraction, Text Mining and Slassification etc.
 Work experience in e-commerce or the Internet industry is preferred.
 Practical experience in NLP (dialogue system, machine translation, nlp-related projects in IR/Ads system, etc.) are preferred.
 Familiar with at least one computer programming language, including but not limited to Go/ Python/ Java.
 Experience of big data development, including but not limited to hive, spark
 Candidates who have published high-quality papers are preferred, including but not limited to ACL, EMNLP, COLING, AAAI, IEEE TASLP, etc.


TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.","['On-siteMatches your job preferences, workplace type is On-site. Full-timeMatches your job preferences, job type is Full-time. Mid-Senior level', '7 of 10 skills match your profile - you may be a good fit', '', 'Am I a good fit?', 'How can I best position myself?', 'Tell me about Jobscentral']"
